name,permalink,sector,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at
chanticleer holdings,/company/chanticleer-holdings,,1600000.0,ipo,USA,NC,Charlotte,charlotte,1.0,2005-06-01
the fabric,/company/the-fabric,network_hosting,10500000.0,operating,USA,CA,SF Bay,palo alto,1.0,2012-01-01
dysonics,/company/dysonics,other,421057.0,operating,USA,CA,Sacramento,davis,1.0,2012-01-01
klocwork,/company/klokwork,software,10000000.0,operating,CAN,,Ottawa,ottawa,1.0,2001-01-01
mission street manufacturing,/company/mission-street-manufacturing,other,200000.0,operating,USA,CA,Santa Barbara,santa barbara,1.0,2012-01-01
wave,/company/wave-2,manufacturing,1400000.0,operating,USA,UT,TBD,po box 680941,1.0,
sterling consolidated,/company/sterling-consolidated,manufacturing,2450000.0,operating,USA,NJ,TBD,neptune,1.0,
theramyt novobiologics,/company/theramyt-novobiologics,biotech,4400000.0,operating,IND,,TBD,yeshwantpur,1.0,
echologics,/company/echologics,,500000.0,operating,CAN,,Mississauga,"mississauga,on",1.0,
jelli,/company/jelli,enterprise,16600000.0,operating,USA,CA,SF Bay,san mateo,4.0,2008-09-15
casereader,/company/casereader,biotech,2385262.0,operating,USA,CA,SF Bay,san ramon,1.0,2006-01-01
metabacus,/company/metabacus,,500000.0,operating,,,unknown,,1.0,
chimeros,/company/chimeros,biotech,1805026.0,operating,USA,CA,Santa Barbara,santa barbara,3.0,2004-01-01
phybridge,/company/phybridge,,500000.0,operating,CAN,,Canada - Other,,1.0,
niiki pharma,/company/niiki-pharma,biotech,1688500.0,operating,USA,FL,Tampa,tampa,1.0,2007-01-01
cambridge innovation capital,/company/cambridge-innovation-capital,finance,75762572.0,operating,GBR,,United Kingdom - Other,,1.0,
recordsetter,/company/universal-record-database,web,1000000.0,operating,USA,NV,Las Vegas,las vegas,2.0,2008-11-15
profound,/company/profound,,2500000.0,operating,CAN,,Toronto,"toronto, on",1.0,
crosscore,/company/crosscore,health,400000.0,operating,USA,CA,Los Angeles,duarte,1.0,2009-01-01
city sports,/company/city-sports,sports,2702000.0,operating,USA,MA,Boston,boston,1.0,1983-11-01
opegi holdings,/company/opegi-holdings,hardware,56700.0,operating,USA,CT,Waterbury,waterbury,1.0,2010-01-01
axialmed,/company/axialmed,biotech,17408.0,operating,USA,CA,San Diego,el cajon,1.0,2011-01-01
american learning corporation,/company/american-learning-corporation,health,296487.0,operating,USA,NY,Jericho,jericho,1.0,1981-01-01
zaprojektuj-ogrod,/company/zaprojektuj-ogrod,web,150000.0,operating,POL,,unknown,liszki,1.0,2011-10-19
telepath,/company/telepath,software,757626.0,operating,GBR,,United Kingdom - Other,,1.0,
vita sound,/company/vita-sound,,500000.0,operating,CAN,,TBD,on,1.0,
bee networx (astilbe),/company/bee-networx-astilbe,,500000.0,operating,CAN,,Canada - Other,,1.0,
combined power,/company/combined-power,other,20000.0,operating,USA,CA,San Diego,santee,1.0,2010-01-01
vennsa technologies,/company/vennsa-technologies,,250000.0,operating,CAN,,Toronto,"toronto, on,",1.0,
agentec,/company/agentec,software,500000.0,operating,JPN,,Japan - Other,,1.0,2004-01-01
aliphcom,/company/aliphcom,mobile,93411658.0,operating,USA,CA,SF Bay,san francisco,3.0,
bonzerdarg,/company/bonzerdarg,biotech,150000.0,operating,USA,OR,Portland,hood river,1.0,2011-01-01
sonogenix,/company/sonogenix,biotech,250000.0,operating,USA,CA,SF Bay,belmont,1.0,2011-01-01
audiotoniq,/company/audiotoniq,hardware,1450000.0,operating,USA,TX,Austin,austin,1.0,2009-01-01
midawi holdings,/company/midawi-holdings,software,5057487.0,operating,USA,NJ,Princeton,princeton,1.0,2009-01-01
selexagen therapeutics,/company/selexagen-therapeutics,biotech,597387.0,operating,USA,CA,San Diego,san diego,1.0,2008-01-01
capee group,/company/capee-group,software,918000.0,operating,SWE,,Gothenburg,gothenburg,2.0,
magick.nu,/company/magick-nu,other,250000.0,operating,DNK,,DNK,copenhagen,1.0,2013-01-17
citysocializer,/company/citysocialising,social,1940000.0,operating,GBR,,London,london,2.0,2007-01-05
cannonball corporation,/company/cannonball-corporation,mobile,600000.0,operating,USA,MA,Boston,cambridge,1.0,2012-09-01
trade to rebate,/company/trade-to-rebate,ecommerce,525000.0,operating,USA,NY,New York,long island city,1.0,2012-04-26
clickworker gmbh,/company/clickworker-com,ecommerce,10308975.0,operating,DEU,,Essen,essen,4.0,2005-01-01
property pointe,/company/property-pointe,real_estate,200000.0,operating,USA,CA,Los Angeles,temecula,1.0,2013-06-15
comply365,/company/comply365,software,2000000.0,operating,USA,WI,Milwaukee,beloit,1.0,2007-10-01
publiatis,/company/publiatis,software,1392000.0,operating,FRA,,Paris,paris,1.0,2006-03-01
zumi networks,/company/zumi-networks,advertising,500000.0,operating,USA,WA,Seattle,kirkland,1.0,2013-09-01
habitrpg,/company/habitrpg,web,41000.0,operating,,,unknown,,1.0,2012-02-01
inwebo technologies,/company/inwebo-technologies,security,780000.0,operating,FRA,,Paris,paris,1.0,2008-04-01
vigilos,/company/vigilos,software,7400000.0,operating,USA,WA,Seattle,seattle,2.0,2000-03-01
ants software,/company/ants-software,software,28306508.0,operating,USA,GA,Atlanta,dunwoody,4.0,1979-01-01
systems integration,/company/systems-integration,,1392512.0,operating,GBR,,United Kingdom - Other,,1.0,
dotalign,/company/dotalign,software,910000.0,operating,USA,NY,New York,new york,1.0,2009-01-01
cradlepoint technology,/company/cradlepoint,hardware,15778255.0,operating,USA,ID,Boise,boise,2.0,2004-01-01
